id,timestamp,tag,sensor1,sensor2,sensor3
0,180317093619,0,294.0,292.0,293.0
1,180317093620,0,295.0,297.0,292.0
2,180317093620,0,319.0,320.0,319.0
3,180317093621,0,287.0,285.0,287.0
4,180317093622,0,259.0,259.0,258.0
5,180317093622,1,236.0,236.0,233.0
6,180317093623,0,239.0,240.0,240.0
7,180317093624,0,260.0,261.0,258.0
8,180317093624,0,256.0,256.0,255.0
9,180317093625,0,258.0,256.0,257.0
10,180317093626,0,265.0,265.0,265.0
11,180317093627,0,261.0,259.0,259.0
12,180317093627,0,260.0,258.0,257.0
13,180317093628,1,268.0,266.0,262.0
14,180317093629,0,261.0,262.0,260.0
15,180317093629,0,261.0,258.0,258.0
16,180317093630,0,265.0,265.0,264.0
17,180317093631,0,261.0,261.0,258.0
18,180317093632,0,258.0,258.0,257.0
19,180317093632,2,265.0,266.0,264.0
20,180317093633,2,261.0,261.0,260.0
21,180317093634,0,259.0,258.0,258.0
22,180317093634,0,266.0,265.0,263.0
23,180317093635,0,261.0,260.0,259.0
24,180317093636,2,260.0,257.0,258.0
